#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 02 48 00 2 5292.016
2011 03 13 02 47 00 2 5292.017
2011 03 13 02 46 00 2 5292.019
2011 03 13 02 45 00 2 5292.021
2011 03 13 02 44 00 2 5292.025
2011 03 13 02 43 00 2 5292.026
2011 03 13 02 42 00 2 5292.026
2011 03 13 02 41 00 2 5292.028
2011 03 13 02 40 00 2 5292.030
2011 03 13 02 39 00 2 5292.029
2011 03 13 02 38 00 2 5292.026
2011 03 13 02 37 00 2 5292.031
2011 03 13 02 36 00 2 5292.026
2011 03 13 02 35 00 2 5292.024
2011 03 13 02 34 00 2 5292.025
2011 03 13 02 33 00 2 5292.027
2011 03 13 02 32 00 2 5292.032
2011 03 13 02 31 00 2 5292.039
2011 03 13 02 30 00 2 5292.041
2011 03 13 02 29 00 2 5292.042
2011 03 13 02 28 00 2 5292.042
2011 03 13 02 27 00 2 5292.047
2011 03 13 02 26 00 2 5292.051
2011 03 13 02 25 00 2 5292.052
2011 03 13 02 24 00 2 5292.057
2011 03 13 02 23 00 2 5292.061
2011 03 13 02 22 00 2 5292.061
2011 03 13 02 21 00 2 5292.066
2011 03 13 02 20 00 2 5292.070
2011 03 13 02 19 00 2 5292.075
2011 03 13 02 18 00 2 5292.078
2011 03 13 02 17 00 2 5292.080
2011 03 13 02 16 00 2 5292.087
2011 03 13 02 15 00 2 5292.089
2011 03 13 02 14 00 2 5292.088
2011 03 13 02 13 00 2 5292.094
2011 03 13 02 12 00 2 5292.093
2011 03 13 02 11 00 2 5292.095
2011 03 13 02 10 00 2 5292.094
2011 03 13 02 09 00 2 5292.094
2011 03 13 02 08 00 2 5292.094
2011 03 13 02 07 00 2 5292.095
2011 03 13 02 06 00 2 5292.096
2011 03 13 02 05 00 2 5292.098
2011 03 13 02 04 00 2 5292.102
2011 03 13 02 03 00 2 5292.108
2011 03 13 02 02 00 2 5292.108
2011 03 13 02 01 00 2 5292.107
2011 03 13 02 00 00 2 5292.108
2011 03 13 01 59 00 2 5292.109
2011 03 13 01 58 00 2 5292.109
2011 03 13 01 57 00 2 5292.109
2011 03 13 01 56 00 2 5292.112
2011 03 13 01 55 00 2 5292.123
2011 03 13 01 54 00 2 5292.123
2011 03 13 01 53 00 2 5292.132
2011 03 13 01 52 00 2 5292.134
2011 03 13 01 51 00 2 5292.138
2011 03 13 01 50 00 2 5292.147
2011 03 13 01 49 00 2 5292.152
2011 03 13 01 48 00 2 5292.158
2011 03 13 01 47 00 2 5292.164
2011 03 13 01 46 00 2 5292.176
2011 03 13 01 45 00 2 5292.180
2011 03 13 01 44 00 2 5292.180
2011 03 13 01 43 00 2 5292.186
2011 03 13 01 42 00 2 5292.189
2011 03 13 01 41 00 2 5292.192
2011 03 13 01 40 00 2 5292.196
2011 03 13 01 39 00 2 5292.197
2011 03 13 01 38 00 2 5292.197
2011 03 13 01 37 00 2 5292.194
2011 03 13 01 36 00 2 5292.194
2011 03 13 01 35 00 2 5292.192
2011 03 13 01 34 00 2 5292.194
2011 03 13 01 33 00 2 5292.196
2011 03 13 01 32 00 2 5292.198
2011 03 13 01 31 00 2 5292.201
2011 03 13 01 30 00 2 5292.200
2011 03 13 01 29 00 2 5292.195
2011 03 13 01 28 00 2 5292.194
2011 03 13 01 27 00 2 5292.190
2011 03 13 01 26 00 2 5292.189
2011 03 13 01 25 00 2 5292.194
2011 03 13 01 24 00 2 5292.201
2011 03 13 01 23 00 2 5292.201
2011 03 13 01 22 00 2 5292.198
2011 03 13 01 21 00 2 5292.201
2011 03 13 01 20 00 2 5292.207
